"gene_set","gene"
"clean_D2","ARHGDIA"
"clean_D2","ZNF428"
"clean_D2","LOXL2"
"clean_D2","UQCR10"
"clean_D2","RAB7B"
"clean_D2","RABAC1"
"clean_D2","DPM3"
"clean_D2","CSTB"
"clean_D2","TMUB1"
"clean_D2","PSMB9"
"clean_D2","AP1S1"
"clean_D2","MYL6"
"clean_D2","LIMK1"
"clean_D2","GBP2"
"clean_D2","AMPD2"
"clean_D2","BEST1"
"clean_D2","CUEDC2"
"clean_D2","ILF2"
"clean_D2","TUBA1B"
"clean_D2","SAC3D1"
"clean_D2","GDI2"
"clean_D2","DCTD"
"clean_D2","FAM127A"
"clean_D2","RPN2"
"clean_D2","ATP5E"
"clean_D2","CDC42EP1"
"clean_D2","PUF60"
"clean_D2","INPPL1"
"clean_D2","MYL6B"
"clean_D2","PKN1"
"clean_D2","LTBP2"
"clean_D2","COL15A1"
"clean_D2","NOP10"
"clean_D2","RAB11FIP5"
"clean_D2","OXLD1"
"clean_D2","DNM3OS"
"clean_D2","LRRC75A"
"clean_D2","XXYLT1"
"clean_D2","GCN1"
"clean_D2","FAAP100"
"clean_D2","PTGDS"
"clean_D2","CCL27"
"clean_D2","CAPG"
"clean_D2","MYC"
"clean_D2","MDFI"
"clean_D2","B4GALT7"
"clean_D2","PSMD8"
"clean_D2","IMP4"
"clean_D2","APRT"
"clean_D2","PTGES2"
"clean_D2","SLC35E1"
"clean_D2","ANO1"
"clean_D2","SEC61B"
"clean_D2","TTC3"
"clean_D2","POLR2G"
"clean_D2","TIMM13"
"clean_D2","TMED2"
"clean_D2","MMP14"
"clean_D2","UBA1"
"clean_D2","APLNR"
"clean_D2","DGKZ"
"clean_D2","ELN"
"clean_D2","PRELID1"
"clean_D2","SIRT2"
"clean_D2","IL32"
"clean_D2","CHRD"
"clean_D2","BAX"
"clean_D2","PLEKHO1"
"clean_D2","TSPAN4"
"clean_D2","TCEB2"
"clean_D2","ATP8B2"
"clean_D2","ATP6V0E1"
"clean_D2","SPOP"
"clean_D2","DUSP23"
"clean_D2","CCND2"
"clean_D2","SLC3A2"
"clean_D2","TMEM205"
"clean_D2","COMMD7"
"clean_D2","UBTD1"
"clean_D2","SPNS1"
"clean_D2","MRGPRF"
"clean_D2","PIGP"
"clean_D2","DDT"
"clean_D2","CPNE1"
"clean_D2","TSPAN9"
"clean_D2","NDUFA13"
"clean_D2","PTPN14"
"clean_D2","MXD4"
"clean_D2","PPP2R1A"
"clean_D2","ACAN"
"clean_D2","STARD10"
"clean_D2","TCEAL8"
"clean_D2","NUDT22"
"clean_D2","TACSTD2"
"clean_D2","CD248"
"clean_D2","GOLGA2"
"clean_D2","HSD3B7"
"clean_D2","TAX1BP3"
"clean_D2","GLRX"
"clean_D2","FAM96B"
"clean_D2","CYP1B1"
"clean_D2","LTBR"
"clean_D2","SERPINB6"
"clean_D2","MFSD12"
"clean_D2","FKBP1A"
"clean_D2","NCLN"
"clean_D2","NTM"
"clean_D2","FAM173A"
"clean_D2","TMEM141"
"clean_D2","RNF181"
"clean_D2","FBLN2"
"clean_D2","CTD-3214H19.16"
"clean_D2","ARHGAP22"
"clean_D2","YIPF5"
"clean_D2","APOBEC3C"
"clean_D2","PSMB3"
"clean_D2","C1orf54"
"clean_D2","FAM57A"
"clean_D2","NUDT2"
"clean_D2","AP2M1"
"clean_D2","MYO18A"
"clean_D2","TOMM5"
"clean_D2","C1orf216"
"clean_D2","ELOVL1"
"clean_D2","MMP24-AS1"
"clean_D2","CCDC85B"
"clean_D2","COX5A"
"clean_D2","GTF2H5"
"clean_D2","RALA"
"clean_D2","CTSD"
"clean_D2","FAM210B"
"clean_D2","YKT6"
"clean_D2","RP11-492E3.51"
"clean_D2","SEPW1"
"clean_D2","PTPRD"
"clean_D2","USP11"
"clean_D2","IFNGR2"
"clean_D2","SLC52A2"
"clean_D2","CFH"
"clean_D2","PRKAR2A"
"clean_D2","SNRPC"
"clean_D2","CHID1"
"clean_D2","MSC"
"clean_D2","DNLZ"
"clean_D2","REXO2"
"clean_D2","IFI35"
"clean_D2","RAB31"
"clean_D2","PRDX5"
"clean_D2","UFD1L"
"clean_D2","ICAM3"
"clean_D2","SNHG18"
"clean_D2","PSENEN"
"clean_D2","SEC31A"
"clean_D2","EPN1"
"clean_D2","SH3BGRL3"
"clean_D2","SAE1"
"clean_D2","HSPA12B"
"clean_D2","NAA38"
"clean_D2","CLEC2A"
"clean_D2","SEC23A"
"clean_D2","TENM4"
"clean_D2","CILP"
"clean_D2","CCL2"
"clean_D2","LAMTOR1"
"clean_D2","TP53TG1"
"clean_D2","SEPN1"
"clean_D2","BRE"
"clean_D2","SIGMAR1"
"clean_D2","DEF8"
"clean_D2","CXCL12"
"clean_D2","CCDC8"
"clean_D2","GSTK1"
"clean_D2","NFE2L1"
"clean_D2","PDIA4"
"clean_D2","CAP1"
"clean_D2","ABHD14A"
"clean_D2","PLGRKT"
"clean_D2","SERP1"
"clean_D2","FAAP20"
"clean_D2","PPP4C"
"clean_D2","NRN1"
"clean_D2","ITGB5"
"clean_D2","PDZD11"
"clean_D2","CLTB"
"clean_D2","TADA3"
"clean_D2","MZT2A"
"clean_D2","PTGIS"
"clean_D2","FGGY"
"clean_D2","HSPB6"
"clean_D2","C19orf70"
"clean_D2","PPP1CA"
"clean_D2","TMEM54"
"clean_D2","SSR2"
"clean_D2","SPHK1"
"clean_D2","LY6E"
"clean_D2","TMEM120B"
"clean_D2","PRSS23"
"clean_D2","DCN"
"clean_D2","C17orf89"
"clean_D2","GSDMD"
"clean_D2","NFATC2"
"clean_D2","PRKCSH"
"clean_D2","CENPP"
"clean_D2","FBXW5"
"clean_D2","DDRGK1"
"clean_D2","CTC-479C5.12"
"clean_D2","ANAPC11"
"clean_D2","MAN1B1"
"clean_D2","NDUFA6"
"clean_D2","GPX1"
"clean_D2","MICAL2"
"clean_D2","TAPBP"
"clean_D2","TMED9"
"clean_D2","FUCA2"
"clean_D2","TP53I13"
"clean_D2","IFI16"
"clean_D2","SEC61G"
"clean_D2","ARPC2"
"clean_D2","NCS1"
"clean_D2","GMPPB"
"clean_D2","TMEM45A"
"clean_D2","FAM109B"
"clean_D2","G6PC3"
"clean_D2","ARF5"
"clean_D2","MGAT1"
"clean_D2","ATP5G1"
"clean_D2","PPP1R9B"
"clean_D2","SH3GLB1"
"clean_D2","SHISA4"
"clean_D2","PALM"
"clean_D2","COLGALT1"
"clean_D2","IGF2"
"clean_D2","CLDN4"
"clean_D2","EIF5A"
"clean_D2","TGFB1I1"
"clean_D2","ORAI2"
"clean_D2","WIPI1"
"clean_D2","CLEC2B"
"clean_D2","SNRNP25"
"clean_D2","UQCR11"
"clean_D2","DDB2"
"clean_D2","GALNT5"
"clean_D2","NAGLU"
"clean_D2","UBXN6"
"clean_D2","SCP2"
"clean_D2","IKBIP"
"clean_D2","MAN1C1"
"clean_D2","COPS7A"
"clean_D2","WBP5"
"clean_D2","VAT1"
"clean_D2","PEA15"
"clean_D2","TXN2"
"clean_D2","ECM2"
"clean_D2","TBC1D1"
"clean_D2","NDUFB3"
"clean_D2","APOE"
"clean_D2","FAM129A"
"clean_D2","SLC39A7"
"clean_D2","KIAA2013"
"clean_D2","TNC"
"clean_D2","CLPP"
"clean_D2","HMOX2"
"clean_D2","MAST2"
"clean_D2","GPC1"
"clean_D2","PRADC1"
"clean_D2","KLHL22"
