"gene","discovery_detection_fraction","discovery_detection_eligible","metacell_variance","selected_top_variable","clean_program"
"MINOS1",0.51588785046729,TRUE,0.0293450412583182,TRUE,"clean_D2"
"PLA2G5",0.0102803738317757,FALSE,NA,FALSE,NA
"NBL1",0.518691588785047,TRUE,0.161249654472706,TRUE,"clean_D2"
"TMCO4",0.0570093457943925,TRUE,0.00147771997822495,FALSE,NA
"RP5-1056L3.1",0.000934579439252336,FALSE,NA,FALSE,NA
"MINOS1-NBL1",0.131775700934579,TRUE,0.00345767080233709,FALSE,"clean_D2"
"OTUD3",0.0130841121495327,FALSE,NA,FALSE,NA
"UBXN10-AS1",0.000934579439252336,FALSE,NA,FALSE,NA
"PLA2G2A",0.0794392523364486,TRUE,0.0680479408941636,TRUE,NA
"PLA2G2F",0.00747663551401869,FALSE,NA,FALSE,NA
"PLA2G2C",0,FALSE,NA,FALSE,NA
"UBXN10",0.000934579439252336,FALSE,NA,FALSE,NA
"PINK1-AS",0.272897196261682,TRUE,0.00954669997226477,TRUE,NA
"VWA5B1",0,FALSE,NA,FALSE,NA
"MUL1",0.125233644859813,TRUE,0.00191338564910054,FALSE,NA
"CAMK2N1",0.231775700934579,TRUE,0.0143940597250066,TRUE,NA
"LINC01141",0.00280373831775701,FALSE,NA,FALSE,NA
"HP1BP3",0.314953271028037,TRUE,0.00703818177031679,TRUE,NA
"DDOST",0.3,TRUE,0.00851240802493009,TRUE,NA
"FAM43B",0.0224299065420561,FALSE,NA,FALSE,NA
"EIF4G3",0.283177570093458,TRUE,0.0241642070858447,TRUE,NA
"CDA",0.0130841121495327,FALSE,NA,FALSE,NA
"KIF17",0.00186915887850467,FALSE,NA,FALSE,NA
"PINK1",0.214953271028037,TRUE,0.00453755424112486,FALSE,NA
"ECE1",0.272897196261682,TRUE,0.02119719093137,TRUE,NA
"RP5-1071N3.1",0.000934579439252336,FALSE,NA,FALSE,NA
"RP3-329E20.2",0,FALSE,NA,FALSE,NA
"HSPG2",0.549532710280374,TRUE,0.0898294434150182,TRUE,"clean_D2"
"USP48",0.155140186915888,TRUE,0.00471201157030018,FALSE,NA
"NBPF3",0.0242990654205607,FALSE,NA,FALSE,NA
"ALPL",0.110280373831776,TRUE,0.00503992503878352,FALSE,NA
