"gene","raw_cluster","dynamic_module","peak_bin","trough_bin","spearman_rho","q_value","expressed_fraction","mean_expression","direction"
"ILVBL","1","D2_late_increasing","27","6","0.206346779750793","1.2680487532608e-11","0.157009345794393","0.0801285673689575","increases_with_pseudotime"
"TMEM9","1","D2_late_increasing","28","2","0.206402494960425","1.25262886768462e-11","0.242990654205607","0.141217232259406","increases_with_pseudotime"
"PMP22","1","D2_late_increasing","24","1","0.206426814857332","1.24655382200533e-11","0.399065420560748","0.315920136319687","increases_with_pseudotime"
"RIC8A","1","D2_late_increasing","27","2","0.206660823781212","1.18184878990492e-11","0.166355140186916","0.0865577385743313","increases_with_pseudotime"
"COX7B","1","D2_late_increasing","27","4","0.207040095463837","1.08273974801314e-11","0.407476635514019","0.306216607489452","increases_with_pseudotime"
"YIPF3","1","D2_late_increasing","28","30","0.20724812611352","1.03267765769337e-11","0.333644859813084","0.21347341366573","increases_with_pseudotime"
"TEN1","1","D2_late_increasing","28","2","0.207624193195258","9.45798885275584e-12","0.125233644859813","0.0674755601807225","increases_with_pseudotime"
"MRPS24","1","D2_late_increasing","27","6","0.207760667216005","9.18067475425838e-12","0.347663551401869","0.228005567268607","increases_with_pseudotime"
"FASTK","1","D2_late_increasing","28","1","0.207891636714919","8.90893538103195e-12","0.176635514018692","0.0992435297399292","increases_with_pseudotime"
"FAM162A","1","D2_late_increasing","28","2","0.208212021515558","8.27140483572065e-12","0.313084112149533","0.200366511651287","increases_with_pseudotime"
"TSR3","1","D2_late_increasing","27","13","0.208241264366302","8.22133978699753e-12","0.246728971962617","0.147520652159129","increases_with_pseudotime"
"PRELP","1","D2_late_increasing","21","1","0.208364901726351","7.9906526998542e-12","0.282242990654206","0.230137062582623","increases_with_pseudotime"
"GORASP2","1","D2_late_increasing","28","4","0.208555691809055","7.64345605669212e-12","0.2","0.103389487850173","increases_with_pseudotime"
"ECH1","1","D2_late_increasing","27","2","0.208558011717979","7.64345605669212e-12","0.296261682242991","0.177222246669066","increases_with_pseudotime"
"GSTO1","1","D2_late_increasing","27","30","0.208721578616666","7.36079758767501e-12","0.34392523364486","0.23482633665828","increases_with_pseudotime"
"PRMT2","1","D2_late_increasing","28","1","0.208986466680602","6.91736692784254e-12","0.281308411214953","0.169590890734506","increases_with_pseudotime"
"SUB1","1","D2_late_increasing","27","5","0.209120577610556","6.70580525787454e-12","0.381308411214953","0.270051611125911","increases_with_pseudotime"
"HLA-A","1","D2_late_increasing","26","6","0.20936887580114","6.32602022492212e-12","0.775700934579439","1.18409468881688","increases_with_pseudotime"
"ANXA2","1","D2_late_increasing","27","6","0.209552832638253","6.0596654855704e-12","0.831775700934579","1.26059515863834","increases_with_pseudotime"
"CREB3","1","D2_late_increasing","27","7","0.209644826822057","5.93318901674105e-12","0.174766355140187","0.0918910416535336","increases_with_pseudotime"
"PLP2","1","D2_late_increasing","27","3","0.210034823163748","5.41453430821963e-12","0.422429906542056","0.320388663704099","increases_with_pseudotime"
"ALDOA","1","D2_late_increasing","28","30","0.210190067201212","5.22158753808576e-12","0.645794392523364","0.67483140004701","increases_with_pseudotime"
"CCDC92","1","D2_late_increasing","28","5","0.210202422532563","5.21070193230906e-12","0.155140186915888","0.0867871096846876","increases_with_pseudotime"
"IFITM1","1","D2_late_increasing","27","1","0.210385985151784","4.99524199729285e-12","0.22803738317757","0.150983164265466","increases_with_pseudotime"
"SCAND1","1","D2_late_increasing","27","30","0.210699322187233","4.63763102804024e-12","0.397196261682243","0.283922259032827","increases_with_pseudotime"
"RPS19BP1","1","D2_late_increasing","28","30","0.210937585938106","4.38735005693446e-12","0.342990654205607","0.233032550569164","increases_with_pseudotime"
"CD68","1","D2_late_increasing","27","7","0.211034905549239","4.29342015342662e-12","0.116822429906542","0.056125951632404","increases_with_pseudotime"
"NKIRAS2","1","D2_late_increasing","28","6","0.21119641204181","4.13707906998205e-12","0.14392523364486","0.0708078164066488","increases_with_pseudotime"
