"gene","clean_module","dynamic_module","spearman_rho","branch_pattern"
"ATP6V0E1","clean_D2","D2_late_increasing","0.241288250357592","mixed_remodeling_branch_biased"
"SPOP","clean_D2","D2_late_increasing","0.241319276337098","mixed_remodeling_branch_biased"
"DUSP23","clean_D2","D2_late_increasing","0.241549515257017","mixed_remodeling_branch_biased"
"CCND2","clean_D2","D2_late_increasing","0.241574425519317","common_increasing"
"SLC3A2","clean_D2","D2_late_increasing","0.241722622984097","mixed_remodeling_branch_biased"
"TMEM205","clean_D2","D2_late_increasing","0.241910491683725","common_increasing"
"COMMD7","clean_D2","D2_late_increasing","0.242525403364514","mixed_remodeling_branch_biased"
"UBTD1","clean_D2","D2_late_increasing","0.242670984747394","mixed_remodeling_branch_biased"
"SPNS1","clean_D2","D2_late_increasing","0.242828763599221","mixed_remodeling_branch_biased"
"MRGPRF","clean_D2","D2_late_increasing","0.243019144943721","common_increasing"
"PIGP","clean_D2","D2_late_increasing","0.243115042162583","mixed_remodeling_branch_biased"
"DDT","clean_D2","D2_late_increasing","0.243197736205874","mixed_remodeling_branch_biased"
"CPNE1","clean_D2","D2_late_increasing","0.243244335885133","mixed_remodeling_branch_biased"
"TSPAN9","clean_D2","D2_late_increasing","0.243601742920176","common_increasing"
"NDUFA13","clean_D2","D2_late_increasing","0.243602331198436","mixed_remodeling_branch_biased"
"PTPN14","clean_D2","D2_late_increasing","0.243956942463084","common_increasing"
"MXD4","clean_D2","D2_late_increasing","0.244117616001717","mixed_remodeling_branch_biased"
"PPP2R1A","clean_D2","D2_late_increasing","0.24419710881761","mixed_remodeling_branch_biased"
"ACAN","clean_D2","D2_late_increasing","0.244388108208419","mixed_remodeling_branch_biased"
"STARD10","clean_D2","D2_late_increasing","0.244471730775233","mixed_remodeling_branch_biased"
"TCEAL8","clean_D2","D2_late_increasing","0.244768852480029","mixed_remodeling_branch_biased"
"NUDT22","clean_D2","D2_late_increasing","0.244848041373308","mixed_remodeling_branch_biased"
"TACSTD2","clean_D2","D2_late_increasing","0.24493292958596","mixed_remodeling_branch_biased"
"CD248","clean_D2","D2_late_increasing","0.245175078912601","common_increasing"
"GOLGA2","clean_D2","D2_late_increasing","0.245291356451091","mixed_remodeling_branch_biased"
"HSD3B7","clean_D2","D2_late_increasing","0.245336841067795","mixed_remodeling_branch_biased"
"TAX1BP3","clean_D2","D2_late_increasing","0.245789784008161","mixed_remodeling_branch_biased"
"GLRX","clean_D2","D2_late_increasing","0.245848760847361","mixed_remodeling_branch_biased"
"FAM96B","clean_D2","D2_late_increasing","0.24597243418317","mixed_remodeling_branch_biased"
"CYP1B1","clean_D2","D2_late_increasing","0.246073725880154","common_increasing"
"LTBR","clean_D2","D2_late_increasing","0.246149352755339","common_increasing"
"SERPINB6","clean_D2","D2_late_increasing","0.246168355927763","common_increasing"
"MFSD12","clean_D2","D2_late_increasing","0.246346216770514","mixed_remodeling_branch_biased"
"FKBP1A","clean_D2","D2_late_increasing","0.246394108499041","mixed_remodeling_branch_biased"
"NCLN","clean_D2","D2_late_increasing","0.246422231214168","mixed_remodeling_branch_biased"
"NTM","clean_D2","D2_late_increasing","0.246748343492907","mixed_remodeling_branch_biased"
"FAM173A","clean_D2","D2_late_increasing","0.246815017720102","mixed_remodeling_branch_biased"
"TMEM141","clean_D2","D2_late_increasing","0.246961977283329","mixed_remodeling_branch_biased"
"RNF181","clean_D2","D2_late_increasing","0.247196455803687","mixed_remodeling_branch_biased"
"FBLN2","clean_D2","D2_late_increasing","0.247223821913597","common_increasing"
"CTD-3214H19.16","clean_D2","D2_late_increasing","0.247530582845939","mixed_remodeling_branch_biased"
"ARHGAP22","clean_D2","D2_late_increasing","0.247694892490331","common_increasing"
"YIPF5","clean_D2","D2_late_increasing","0.248313652757959","mixed_remodeling_branch_biased"
"APOBEC3C","clean_D2","D2_late_increasing","0.248819878178102","mixed_remodeling_branch_biased"
"PSMB3","clean_D2","D2_late_increasing","0.248926460689885","mixed_remodeling_branch_biased"
"C1orf54","clean_D2","D2_late_increasing","0.248932048153594","mixed_remodeling_branch_biased"
"FAM57A","clean_D2","D2_late_increasing","0.248939625924771","mixed_remodeling_branch_biased"
"NUDT2","clean_D2","D2_late_increasing","0.249243298597579","mixed_remodeling_branch_biased"
"AP2M1","clean_D2","D2_late_increasing","0.249288125641827","mixed_remodeling_branch_biased"
"MYO18A","clean_D2","D2_late_increasing","0.249318161808641","common_increasing"
"TOMM5","clean_D2","D2_late_increasing","0.249401482698282","mixed_remodeling_branch_biased"
