"root","gene","original_module","original_rho","rho","q_value","expressed_fraction","same_direction","passes_original_threshold"
"Y_114","FGFR1","D2_late_increasing",-0.251954293689233,-0.251954293689233,8.27643317659145e-17,0.603738317757009,TRUE,TRUE
"Y_114","CD81","D2_late_increasing",-0.24362211414552,-0.24362211414552,8.39082234167972e-16,0.883177570093458,TRUE,TRUE
"Y_114","EIF1","D2_late_increasing",-0.241159255792612,-0.241159255792612,1.63554632556826e-15,0.85607476635514,TRUE,TRUE
"Y_114","ZFP36L2","D2_late_increasing",-0.238722559920565,-0.238722559920565,3.14591661407671e-15,0.766355140186916,TRUE,TRUE
"Y_114","RPS24","D2_late_increasing",-0.238059420447638,-0.238059420447638,3.75153430738437e-15,0.961682242990654,TRUE,TRUE
"Y_114","RPL7A","D2_late_increasing",-0.235725421383404,-0.235725421383404,6.94736712379787e-15,0.97196261682243,TRUE,TRUE
"Y_114","RPS18","D2_late_increasing",-0.227420906198673,-0.227420906198673,5.92194260640984e-14,0.993457943925234,TRUE,TRUE
"Y_114","HMGB1","D2_late_increasing",-0.227319939022366,-0.227319939022366,6.06077685344352e-14,0.78785046728972,TRUE,TRUE
"Y_114","HIST1H4C","D2_late_increasing",-0.224415200937419,-0.224415200937419,1.26574427927319e-13,0.457009345794393,TRUE,TRUE
"Y_114","RPL35","D2_late_increasing",-0.216602219336436,-0.216602219336436,8.66250326771704e-13,0.974766355140187,TRUE,TRUE
"Y_114","SNHG8","D2_late_increasing",-0.210228975138566,-0.210228975138566,3.91614848875941e-12,0.447663551401869,TRUE,TRUE
"Y_114","RPS2","D2_late_increasing",-0.207665848931415,-0.207665848931415,7.09371579035073e-12,0.980373831775701,TRUE,TRUE
"Y_114","TMEM258","D2_late_increasing",0.20011186306307,0.20011186306307,3.97253497452672e-11,0.627102803738318,TRUE,TRUE
"Y_114","POLDIP2","D2_late_increasing",0.200250969148978,0.200250969148978,3.85222978040619e-11,0.183177570093458,TRUE,TRUE
"Y_114","PLXNA3","D2_late_increasing",0.200307603161685,0.200307603161685,3.80629699522016e-11,0.12803738317757,TRUE,TRUE
"Y_114","MRPS12","D2_late_increasing",0.200338962500665,0.200338962500665,3.78260766615751e-11,0.211214953271028,TRUE,TRUE
"Y_114","RAB24","D2_late_increasing",0.200424108444054,0.200424108444054,3.71329535372582e-11,0.142056074766355,TRUE,TRUE
"Y_114","MARVELD1","D2_late_increasing",0.200807381567333,0.200807381567333,3.40561215172848e-11,0.400934579439252,TRUE,TRUE
"Y_114","CMKLR1","D2_late_increasing",0.201311377734015,0.201311377734015,3.03781539281571e-11,0.103738317757009,TRUE,TRUE
"Y_114","PTPMT1","D2_late_increasing",0.201325189448217,0.201325189448217,3.03095426556095e-11,0.248598130841122,TRUE,TRUE
"Y_114","RNF11","D2_late_increasing",0.201359237411212,0.201359237411212,3.01013569242971e-11,0.129906542056075,TRUE,TRUE
"Y_114","C6orf1","D2_late_increasing",0.201615706705342,0.201615706705342,2.84095991963021e-11,0.147663551401869,TRUE,TRUE
"Y_114","SSNA1","D2_late_increasing",0.201622039400418,0.201622039400418,2.8393995963648e-11,0.257943925233645,TRUE,TRUE
"Y_114","PSMC4","D2_late_increasing",0.203865565536798,0.203865565536798,1.69583024538026e-11,0.202803738317757,TRUE,TRUE
"Y_114","NPC2","D2_late_increasing",0.204385277071487,0.204385277071487,1.50442110871971e-11,0.562616822429907,TRUE,TRUE
"Y_114","SAT2","D2_late_increasing",0.204413506130961,0.204413506130961,1.49593288824439e-11,0.277570093457944,TRUE,TRUE
"Y_114","NDUFB11","D2_late_increasing",0.204432690452616,0.204432690452616,1.49062445685124e-11,0.530841121495327,TRUE,TRUE
"Y_114","DCHS1","D2_late_increasing",0.204906749099453,0.204906749099453,1.33606137722482e-11,0.21214953271028,TRUE,TRUE
"Y_114","HAS2","D2_late_increasing",0.204988501721473,0.204988501721473,1.31202554047643e-11,0.195327102803738,TRUE,TRUE
"Y_114","NDUFA4","D2_late_increasing",0.20508351567455,0.20508351567455,1.28443259712587e-11,0.531775700934579,TRUE,TRUE
"Y_114","ACTN1","D2_late_increasing",0.20527389470214,0.20527389470214,1.22971783297693e-11,0.370093457943925,TRUE,TRUE
"Y_114","RAB1B","D2_late_increasing",0.20551363667198,0.20551363667198,1.16377445361739e-11,0.286915887850467,TRUE,TRUE
"Y_114","HIGD2A","D2_late_increasing",0.206245416913196,0.206245416913196,9.8221438985993e-12,0.414018691588785,TRUE,TRUE
"Y_114","TMEM160","D2_late_increasing",0.206324915733076,0.206324915733076,9.6493371255724e-12,0.241121495327103,TRUE,TRUE
"Y_114","ILVBL","D2_late_increasing",0.206346779750793,0.206346779750793,9.60869861763003e-12,0.157009345794393,TRUE,TRUE
"Y_114","TMEM9","D2_late_increasing",0.206402494960425,0.206402494960425,9.49245924733633e-12,0.242990654205607,TRUE,TRUE
"Y_114","PMP22","D2_late_increasing",0.206426814857332,0.206426814857332,9.44702606774651e-12,0.399065420560748,TRUE,TRUE
"Y_114","RIC8A","D2_late_increasing",0.206660823781212,0.206660823781212,8.94959529023579e-12,0.166355140186916,TRUE,TRUE
"Y_114","COX7B","D2_late_increasing",0.207040095463837,0.207040095463837,8.19260591405337e-12,0.407476635514019,TRUE,TRUE
"Y_114","YIPF3","D2_late_increasing",0.20724812611352,0.20724812611352,7.81479066417426e-12,0.333644859813084,TRUE,TRUE
"Y_114","TEN1","D2_late_increasing",0.207624193195258,0.207624193195258,7.15732015079981e-12,0.125233644859813,TRUE,TRUE
"Y_114","MRPS24","D2_late_increasing",0.207760667216005,0.207760667216005,6.94282893102879e-12,0.347663551401869,TRUE,TRUE
"Y_114","FASTK","D2_late_increasing",0.207891636714919,0.207891636714919,6.73719730263917e-12,0.176635514018692,TRUE,TRUE
"Y_114","FAM162A","D2_late_increasing",0.208212021515558,0.208212021515558,6.25059933114879e-12,0.313084112149533,TRUE,TRUE
"Y_114","TSR3","D2_late_increasing",0.208241264366302,0.208241264366302,6.21315154958087e-12,0.246728971962617,TRUE,TRUE
"Y_114","PRELP","D2_late_increasing",0.208364901726351,0.208364901726351,6.03918895076862e-12,0.282242990654206,TRUE,TRUE
"Y_114","GORASP2","D2_late_increasing",0.208555691809055,0.208555691809055,5.77714406325027e-12,0.2,TRUE,TRUE
"Y_114","ECH1","D2_late_increasing",0.208558011717979,0.208558011717979,5.77714406325027e-12,0.296261682242991,TRUE,TRUE
"Y_114","GSTO1","D2_late_increasing",0.208721578616666,0.208721578616666,5.56419791490236e-12,0.34392523364486,TRUE,TRUE
"Y_114","PRMT2","D2_late_increasing",0.208986466680602,0.208986466680602,5.2293259733519e-12,0.281308411214953,TRUE,TRUE
"Y_114","SUB1","D2_late_increasing",0.209120577610556,0.209120577610556,5.06970974017689e-12,0.381308411214953,TRUE,TRUE
"Y_114","HLA-A","D2_late_increasing",0.20936887580114,0.20936887580114,4.78288611103948e-12,0.775700934579439,TRUE,TRUE
"Y_114","ANXA2","D2_late_increasing",0.209552832638253,0.209552832638253,4.58179304413126e-12,0.831775700934579,TRUE,TRUE
"Y_114","CREB3","D2_late_increasing",0.209644826822057,0.209644826822057,4.48644560227285e-12,0.174766355140187,TRUE,TRUE
"Y_114","PLP2","D2_late_increasing",0.210034823163748,0.210034823163748,4.09095755698262e-12,0.422429906542056,TRUE,TRUE
"Y_114","ALDOA","D2_late_increasing",0.210190067201212,0.210190067201212,3.94542326353593e-12,0.645794392523364,TRUE,TRUE
"Y_114","CCDC92","D2_late_increasing",0.210202422532563,0.210202422532563,3.93744492114931e-12,0.155140186915888,TRUE,TRUE
"Y_114","IFITM1","D2_late_increasing",0.210385985151784,0.210385985151784,3.77510805760289e-12,0.22803738317757,TRUE,TRUE
"Y_114","SCAND1","D2_late_increasing",0.210699322187233,0.210699322187233,3.50506776362954e-12,0.397196261682243,TRUE,TRUE
"Y_114","RPS19BP1","D2_late_increasing",0.210937585938106,0.210937585938106,3.31321643490025e-12,0.342990654205607,TRUE,TRUE
"Y_114","CD68","D2_late_increasing",0.211034905549239,0.211034905549239,3.24268852337257e-12,0.116822429906542,TRUE,TRUE
"Y_114","NKIRAS2","D2_late_increasing",0.21119641204181,0.21119641204181,3.12206139769138e-12,0.14392523364486,TRUE,TRUE
"Y_114","NRP2","D2_late_increasing",0.211255354516691,0.211255354516691,3.08098248911652e-12,0.196261682242991,TRUE,TRUE
"Y_114","PLXNA2","D2_late_increasing",0.211378136938116,0.211378136938116,2.99687227067523e-12,0.119626168224299,TRUE,TRUE
"Y_114","C4orf3","D2_late_increasing",0.211574555372618,0.211574555372618,2.86102613854645e-12,0.461682242990654,TRUE,TRUE
"Y_114","RBCK1","D2_late_increasing",0.211657690696962,0.211657690696962,2.80689043342395e-12,0.235514018691589,TRUE,TRUE
"Y_114","PKM","D2_late_increasing",0.211965482468756,0.211965482468756,2.60837518651332e-12,0.573831775700935,TRUE,TRUE
"Y_114","MAGOHB","D2_late_increasing",0.212300217610379,0.212300217610379,2.40787722840677e-12,0.107476635514019,TRUE,TRUE
"Y_114","MAP2K2","D2_late_increasing",0.212383091731176,0.212383091731176,2.36230008728325e-12,0.298130841121495,TRUE,TRUE
"Y_114","ORMDL3","D2_late_increasing",0.212414163895739,0.212414163895739,2.34682148857695e-12,0.189719626168224,TRUE,TRUE
"Y_114","CDIPT","D2_late_increasing",0.212801261028019,0.212801261028019,2.13870763223139e-12,0.278504672897196,TRUE,TRUE
"Y_114","AGPAT1","D2_late_increasing",0.212832509155758,0.212832509155758,2.12457395689698e-12,0.188785046728972,TRUE,TRUE
"Y_114","CFL1","D2_late_increasing",0.213082321471487,0.213082321471487,2.0014609502222e-12,0.719626168224299,TRUE,TRUE
"Y_114","PACS2","D2_late_increasing",0.213312247190651,0.213312247190651,1.89448230886017e-12,0.18785046728972,TRUE,TRUE
"Y_114","GJA1","D2_late_increasing",0.213749778618311,0.213749778618311,1.70468413958773e-12,0.380373831775701,TRUE,TRUE
"Y_114","KDELR1","D2_late_increasing",0.21385291199362,0.21385291199362,1.66394576705013e-12,0.538317757009346,TRUE,TRUE
"Y_114","ZNF593","D2_late_increasing",0.213993557814706,0.213993557814706,1.60936405765896e-12,0.179439252336449,TRUE,TRUE
"Y_114","CORO1C","D2_late_increasing",0.214138158604255,0.214138158604255,1.55503453581794e-12,0.189719626168224,TRUE,TRUE
"Y_114","RTN4RL2","D2_late_increasing",0.214388557262409,0.214388557262409,1.46414644884107e-12,0.114018691588785,TRUE,TRUE
"Y_114","PSME2","D2_late_increasing",0.214392170920339,0.214392170920339,1.46414644884107e-12,0.331775700934579,TRUE,TRUE
"Y_114","AKR1B1","D2_late_increasing",0.214475831004509,0.214475831004509,1.43597793652179e-12,0.165420560747664,TRUE,TRUE
"Y_114","CYSTM1","D2_late_increasing",0.214501516716064,0.214501516716064,1.42835347545486e-12,0.249532710280374,TRUE,TRUE
"Y_114","SNX3","D2_late_increasing",0.214619188678021,0.214619188678021,1.38914524823903e-12,0.378504672897196,TRUE,TRUE
