"cell","ordering_set","pseudotime","program","sample","condition"
"K712771_CELL1977_N5","program_DE_all1586",20.1068324619789,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL1989_N4","program_DE_all1586",22.4638314903592,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL1996_N3","program_DE_all1586",13.5051939671473,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL2224_N4","program_DE_all1586",19.2498134619126,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL2493_N7","program_DE_all1586",20.1860321497847,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL2762_N5","program_DE_all1586",13.1515247031704,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL3052_N3","program_DE_all1586",19.9735167622103,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL3113_N2","program_DE_all1586",13.6734060993141,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL3674_N3","program_DE_all1586",15.4846271507676,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL4138_N2","program_DE_all1586",10.719233539444,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL4504_N2","program_DE_all1586",19.1604973493543,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL5011_N4","program_DE_all1586",10.7132282573542,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL5241_N2","program_DE_all1586",11.5204292131031,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL5313_N2","program_DE_all1586",13.8495020919008,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL5445_N4","program_DE_all1586",10.656776037618,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL5485_N1","program_DE_all1586",9.88723079367382,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL5492_N2","program_DE_all1586",19.5491489047479,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL5571_N3","program_DE_all1586",12.279993056498,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL5672_N2","program_DE_all1586",20.0754940446015,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL5695_N3","program_DE_all1586",16.3089255845032,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL6146_N1","program_DE_all1586",10.8112772996195,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL6298_N2","program_DE_all1586",0.312053443956337,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
